CountyState,Pop,county,state
"Bristol city, Virginia",16762,#VALUE!,Virginia
"Buena Vista city, Virginia",6478,#VALUE!,Virginia
"Charlottesville city, Virginia",47266,#VALUE!,Virginia
"Chesapeake city, Virginia",244835,#VALUE!,Virginia
"Colonial Heights city, Virginia",17370,#VALUE!,Virginia
"Covington city, Virginia",5538,#VALUE!,Virginia
"Danville city, Virginia",40044,#VALUE!,Virginia
"Emporia city, Virginia",5346,#VALUE!,Virginia
"Fairfax city, Virginia",24019,#VALUE!,Virginia
"Falls Church city, Virginia",14617,#VALUE!,Virginia
"Franklin city, Virginia",7967,#VALUE!,Virginia
"Fredericksburg city, Virginia",29036,#VALUE!,Virginia
"Galax city, Virginia",6347,#VALUE!,Virginia
"Hampton city, Virginia",134510,#VALUE!,Virginia
"Harrisonburg city, Virginia",53016,#VALUE!,Virginia
"Hopewell city, Virginia",22529,#VALUE!,Virginia
"Lexington city, Virginia",7446,#VALUE!,Virginia
"Lynchburg city, Virginia",82168,#VALUE!,Virginia
"Manassas city, Virginia",41085,#VALUE!,Virginia
"Manassas Park city, Virginia",17478,#VALUE!,Virginia
"Martinsville city, Virginia",12554,#VALUE!,Virginia
"Newport News city, Virginia",179225,#VALUE!,Virginia
"Norfolk city, Virginia",242742,#VALUE!,Virginia
"Norton city, Virginia",3981,#VALUE!,Virginia
"Petersburg city, Virginia",31346,#VALUE!,Virginia
"Poquoson city, Virginia",12271,#VALUE!,Virginia
"Portsmouth city, Virginia",94398,#VALUE!,Virginia
"Radford city, Virginia",18249,#VALUE!,Virginia
"Richmond city, Virginia",230436,#VALUE!,Virginia
"Roanoke city, Virginia",99143,#VALUE!,Virginia
"Salem city, Virginia",25301,#VALUE!,Virginia
"Staunton city, Virginia",24932,#VALUE!,Virginia
"Suffolk city, Virginia",92108,#VALUE!,Virginia
"Virginia Beach city, Virginia",449974,#VALUE!,Virginia
"Waynesboro city, Virginia",22630,#VALUE!,Virginia
"Williamsburg city, Virginia",14954,#VALUE!,Virginia
"Winchester city, Virginia",28078,#VALUE!,Virginia
"Adams County, Washington",19983,Adams,Washington
"Asotin County, Washington",22582,Asotin,Washington
"Benton County, Washington",204390,Benton,Washington
"Chelan County, Washington",77200,Chelan,Washington
"Clallam County, Washington",77331,Clallam,Washington
"Clark County, Washington",488241,Clark,Washington
"Columbia County, Washington",3985,Columbia,Washington
"Cowlitz County, Washington",110593,Cowlitz,Washington
"Douglas County, Washington",43429,Douglas,Washington
"Ferry County, Washington",7627,Ferry,Washington
"Franklin County, Washington",95222,Franklin,Washington
"Garfield County, Washington",2225,Garfield,Washington
"Grant County, Washington",97733,Grant,Washington
"Grays Harbor County, Washington",75061,GraysHarbor,Washington
"Island County, Washington",85141,Island,Washington
"Jefferson County, Washington",32221,Jefferson,Washington
"King County, Washington",2252782,King,Washington
"Kitsap County, Washington",271473,Kitsap,Washington
"Kittitas County, Washington",47935,Kittitas,Washington
"Klickitat County, Washington",22425,Klickitat,Washington
"Lewis County, Washington",80707,Lewis,Washington
"Lincoln County, Washington",10939,Lincoln,Washington
"Mason County, Washington",66768,Mason,Washington
"Okanogan County, Washington",42243,Okanogan,Washington
"Pacific County, Washington",22471,Pacific,Washington
"Pend Oreille County, Washington",13724,PendOreille,Washington
"Pierce County, Washington",904980,Pierce,Washington
"San Juan County, Washington",17582,SanJuan,Washington
"Skagit County, Washington",129205,Skagit,Washington
"Skamania County, Washington",12083,Skamania,Washington
"Snohomish County, Washington",822083,Snohomish,Washington
"Spokane County, Washington",522798,Spokane,Washington
"Stevens County, Washington",45723,Stevens,Washington
"Thurston County, Washington",290536,Thurston,Washington
"Wahkiakum County, Washington",4488,Wahkiakum,Washington
"Walla Walla County, Washington",60760,WallaWalla,Washington
"Whatcom County, Washington",229247,Whatcom,Washington
"Whitman County, Washington",50104,Whitman,Washington
"Yakima County, Washington",250873,Yakima,Washington
"Barbour County, West Virginia",16441,Barbour,WestVirginia
"Berkeley County, West Virginia",119171,Berkeley,WestVirginia
"Boone County, West Virginia",21457,Boone,WestVirginia
"Braxton County, West Virginia",13957,Braxton,WestVirginia
"Brooke County, West Virginia",21939,Brooke,WestVirginia
"Cabell County, West Virginia",91945,Cabell,WestVirginia
"Calhoun County, West Virginia",7109,Calhoun,WestVirginia
"Clay County, West Virginia",8508,Clay,WestVirginia
"Doddridge County, West Virginia",8448,Doddridge,WestVirginia
"Fayette County, West Virginia",42406,Fayette,WestVirginia
"Gilmer County, West Virginia",7823,Gilmer,WestVirginia
"Grant County, West Virginia",11568,Grant,WestVirginia
"Greenbrier County, West Virginia",34662,Greenbrier,WestVirginia
"Hampshire County, West Virginia",23175,Hampshire,WestVirginia
"Hancock County, West Virginia",28810,Hancock,WestVirginia
"Hardy County, West Virginia",13776,Hardy,WestVirginia
"Harrison County, West Virginia",67256,Harrison,WestVirginia
"Jackson County, West Virginia",28576,Jackson,WestVirginia
"Jefferson County, West Virginia",57146,Jefferson,WestVirginia
"Kanawha County, West Virginia",178124,Kanawha,WestVirginia
"Lewis County, West Virginia",15907,Lewis,WestVirginia
"Lincoln County, West Virginia",20409,Lincoln,WestVirginia
"Logan County, West Virginia",32019,Logan,WestVirginia
"McDowell County, West Virginia",17624,McDowell,WestVirginia
"Marion County, West Virginia",56072,Marion,WestVirginia
"Marshall County, West Virginia",30531,Marshall,WestVirginia
"Mason County, West Virginia",26516,Mason,WestVirginia
"Mercer County, West Virginia",58758,Mercer,WestVirginia
"Mineral County, West Virginia",26868,Mineral,WestVirginia
"Mingo County, West Virginia",23424,Mingo,WestVirginia
"Monongalia County, West Virginia",105612,Monongalia,WestVirginia
"Monroe County, West Virginia",13275,Monroe,WestVirginia
"Morgan County, West Virginia",17884,Morgan,WestVirginia
"Nicholas County, West Virginia",24496,Nicholas,WestVirginia
"Ohio County, West Virginia",41411,Ohio,WestVirginia
"Pendleton County, West Virginia",6969,Pendleton,WestVirginia
"Pleasants County, West Virginia",7460,Pleasants,WestVirginia
"Pocahontas County, West Virginia",8247,Pocahontas,WestVirginia
"Preston County, West Virginia",33432,Preston,WestVirginia
"Putnam County, West Virginia",56450,Putnam,WestVirginia
"Raleigh County, West Virginia",73361,Raleigh,WestVirginia
"Randolph County, West Virginia",28695,Randolph,WestVirginia
"Ritchie County, West Virginia",9554,Ritchie,WestVirginia
"Roane County, West Virginia",13688,Roane,WestVirginia
"Summers County, West Virginia",12573,Summers,WestVirginia
"Taylor County, West Virginia",16695,Taylor,WestVirginia
"Tucker County, West Virginia",6839,Tucker,WestVirginia
"Tyler County, West Virginia",8591,Tyler,WestVirginia
"Upshur County, West Virginia",24176,Upshur,WestVirginia
"Wayne County, West Virginia",39402,Wayne,WestVirginia
"Webster County, West Virginia",8114,Webster,WestVirginia
"Wetzel County, West Virginia",15065,Wetzel,WestVirginia
"Wirt County, West Virginia",5821,Wirt,WestVirginia
"Wood County, West Virginia",83518,Wood,WestVirginia
"Wyoming County, West Virginia",20394,Wyoming,WestVirginia
"Adams County, Wisconsin",20220,Adams,Wisconsin
"Ashland County, Wisconsin",15562,Ashland,Wisconsin
"Barron County, Wisconsin",45244,Barron,Wisconsin
"Bayfield County, Wisconsin",15036,Bayfield,Wisconsin
"Brown County, Wisconsin",264542,Brown,Wisconsin
"Buffalo County, Wisconsin",13031,Buffalo,Wisconsin
"Burnett County, Wisconsin",15414,Burnett,Wisconsin
"Calumet County, Wisconsin",50089,Calumet,Wisconsin
"Chippewa County, Wisconsin",64658,Chippewa,Wisconsin
"Clark County, Wisconsin",34774,Clark,Wisconsin
"Columbia County, Wisconsin",57532,Columbia,Wisconsin
"Crawford County, Wisconsin",16131,Crawford,Wisconsin
"Dane County, Wisconsin",546695,Dane,Wisconsin
"Dodge County, Wisconsin",87839,Dodge,Wisconsin
"Door County, Wisconsin",27668,Door,Wisconsin
"Douglas County, Wisconsin",43150,Douglas,Wisconsin
"Dunn County, Wisconsin",45368,Dunn,Wisconsin
"Eau Claire County, Wisconsin",104646,EauClaire,Wisconsin
"Florence County, Wisconsin",4295,Florence,Wisconsin
"Fond du Lac County, Wisconsin",103403,FondduLac,Wisconsin
"Forest County, Wisconsin",9004,Forest,Wisconsin
"Grant County, Wisconsin",51439,Grant,Wisconsin
"Green County, Wisconsin",36960,Green,Wisconsin
"Green Lake County, Wisconsin",18913,GreenLake,Wisconsin
"Iowa County, Wisconsin",23678,Iowa,Wisconsin
"Iron County, Wisconsin",5687,Iron,Wisconsin
"Jackson County, Wisconsin",20643,Jackson,Wisconsin
"Jefferson County, Wisconsin",84769,Jefferson,Wisconsin
"Juneau County, Wisconsin",26687,Juneau,Wisconsin
"Kenosha County, Wisconsin",169561,Kenosha,Wisconsin
"Kewaunee County, Wisconsin",20434,Kewaunee,Wisconsin
"La Crosse County, Wisconsin",118016,LaCrosse,Wisconsin
"Lafayette County, Wisconsin",16665,Lafayette,Wisconsin
"Langlade County, Wisconsin",19189,Langlade,Wisconsin
"Lincoln County, Wisconsin",27593,Lincoln,Wisconsin
"Manitowoc County, Wisconsin",78981,Manitowoc,Wisconsin
"Marathon County, Wisconsin",135692,Marathon,Wisconsin
"Marinette County, Wisconsin",40350,Marinette,Wisconsin
"Marquette County, Wisconsin",15574,Marquette,Wisconsin
"Menominee County, Wisconsin",4556,Menominee,Wisconsin
"Milwaukee County, Wisconsin",945726,Milwaukee,Wisconsin
"Monroe County, Wisconsin",46253,Monroe,Wisconsin
"Oconto County, Wisconsin",37930,Oconto,Wisconsin
"Oneida County, Wisconsin",35595,Oneida,Wisconsin
"Outagamie County, Wisconsin",187885,Outagamie,Wisconsin
"Ozaukee County, Wisconsin",89221,Ozaukee,Wisconsin
"Pepin County, Wisconsin",7287,Pepin,Wisconsin
"Pierce County, Wisconsin",42754,Pierce,Wisconsin
"Polk County, Wisconsin",43783,Polk,Wisconsin
"Portage County, Wisconsin",70772,Portage,Wisconsin
"Price County, Wisconsin",13351,Price,Wisconsin
"Racine County, Wisconsin",196311,Racine,Wisconsin
"Richland County, Wisconsin",17252,Richland,Wisconsin
"Rock County, Wisconsin",163354,Rock,Wisconsin
"Rusk County, Wisconsin",14178,Rusk,Wisconsin
"St. Croix County, Wisconsin",90687,St.Croix,Wisconsin
"Sauk County, Wisconsin",64442,Sauk,Wisconsin
"Sawyer County, Wisconsin",16558,Sawyer,Wisconsin
"Shawano County, Wisconsin",40899,Shawano,Wisconsin
"Sheboygan County, Wisconsin",115340,Sheboygan,Wisconsin
"Taylor County, Wisconsin",20343,Taylor,Wisconsin
"Trempealeau County, Wisconsin",29649,Trempealeau,Wisconsin
"Vernon County, Wisconsin",30822,Vernon,Wisconsin
"Vilas County, Wisconsin",22195,Vilas,Wisconsin
"Walworth County, Wisconsin",103868,Walworth,Wisconsin
"Washburn County, Wisconsin",15720,Washburn,Wisconsin
"Washington County, Wisconsin",136034,Washington,Wisconsin
"Waukesha County, Wisconsin",404198,Waukesha,Wisconsin
"Waupaca County, Wisconsin",50990,Waupaca,Wisconsin
"Waushara County, Wisconsin",24443,Waushara,Wisconsin
"Winnebago County, Wisconsin",171907,Winnebago,Wisconsin
"Wood County, Wisconsin",72999,Wood,Wisconsin
"Albany County, Wyoming",38880,Albany,Wyoming
"Big Horn County, Wyoming",11790,BigHorn,Wyoming
"Campbell County, Wyoming",46341,Campbell,Wyoming
"Carbon County, Wyoming",14800,Carbon,Wyoming
"Converse County, Wyoming",13822,Converse,Wyoming
"Crook County, Wyoming",7584,Crook,Wyoming
"Fremont County, Wyoming",39261,Fremont,Wyoming
"Goshen County, Wyoming",13211,Goshen,Wyoming
"Hot Springs County, Wyoming",4413,HotSprings,Wyoming
"Johnson County, Wyoming",8445,Johnson,Wyoming
"Laramie County, Wyoming",99500,Laramie,Wyoming
"Lincoln County, Wyoming",19830,Lincoln,Wyoming
"Natrona County, Wyoming",79858,Natrona,Wyoming
"Niobrara County, Wyoming",2356,Niobrara,Wyoming
"Park County, Wyoming",29194,Park,Wyoming
"Platte County, Wyoming",8393,Platte,Wyoming
"Sheridan County, Wyoming",30485,Sheridan,Wyoming
"Sublette County, Wyoming",9831,Sublette,Wyoming
"Sweetwater County, Wyoming",42343,Sweetwater,Wyoming
"Teton County, Wyoming",23464,Teton,Wyoming
"Uinta County, Wyoming",20226,Uinta,Wyoming
"Washakie County, Wyoming",7805,Washakie,Wyoming
"Weston County, Wyoming",6927,Weston,Wyoming
